danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.521,0.72,0.104,0.384,0.0,0.135,0.438,79.943,4
0.533,0.573,0.138,0.178,0.0,0.309,0.398,150.088,4
0.626,0.428,0.0261,0.607,0.0,0.0921,0.487,94.95,4
0.423,0.272,0.0489,0.858,0.0,0.108,0.195,78.539,4
0.701,0.751,0.0502,0.123,0.0,0.15,0.22,129.994,4
0.527,0.27,0.038,0.707,0.0,0.102,0.23,154.042,4
0.342,0.376,0.0372,0.805,0.0,0.0593,0.29,176.859,4
0.509,0.256,0.0306,0.901,2.43e-06,0.103,0.436,94.184,4
0.726,0.963,0.0916,0.0429,0.00157,0.128,0.769,126.062,4
0.251,0.252,0.0375,0.693,0.00706,0.0968,0.0395,69.988,4
0.467,0.247,0.0431,0.612,0.000271,0.17,0.126,148.101,4
0.407,0.192,0.0368,0.637,3.33e-06,0.21,0.159,128.173,4
0.785,0.786,0.0501,0.28,0.236,0.158,0.638,120.404,4
0.485,0.638,0.139,0.309,4.13e-05,0.137,0.421,149.99,4
0.804,0.957,0.034,0.125,0.0174,0.114,0.962,126.035,4
0.769,0.771,0.0436,0.000783,0.671,0.0537,0.37,116.027,4
0.693,0.8,0.0637,0.0199,1e-06,0.106,0.764,104.999,4
0.647,0.826,0.0867,0.0181,7.23e-06,0.118,0.346,129.954,4
0.705,0.89,0.165,0.0849,0.000329,0.175,0.863,115.022,4
0.811,0.792,0.175,0.1,0.0,0.395,0.854,124.01,4
0.813,0.456,0.0684,0.169,2.86e-06,0.105,0.587,108.801,4
0.623,0.734,0.107,0.0162,1.75e-06,0.145,0.37,107.853,4
0.558,0.781,0.0963,0.00657,0.00144,0.102,0.286,126.025,4
0.835,0.66,0.0423,0.14,6.26e-05,0.0903,0.832,149.056,4
0.776,0.667,0.0983,0.0146,0.3,0.0761,0.618,130.019,4
0.536,0.901,0.0374,0.00145,0.0186,0.06,0.666,87.559,7
0.528,0.921,0.0524,0.0174,0.000186,0.0472,0.298,144.368,7
0.293,0.787,0.0438,0.00774,0.496,0.392,0.139,165.307,7
0.528,0.557,0.0315,0.245,0.0156,0.0958,0.357,121.732,7
0.586,0.506,0.0282,0.101,0.0,0.304,0.768,114.684,7
0.602,0.784,0.053,0.0607,0.000646,0.0794,0.568,112.733,7
0.393,0.125,0.0291,0.823,0.00134,0.103,0.0535,80.323,7
0.378,0.55,0.0576,0.011,0.0,0.224,0.681,141.291,7
0.415,0.93,0.0569,0.00375,3.27e-05,0.391,0.48,101.595,7
0.231,0.333,0.0293,0.101,0.0304,0.116,0.0638,159.869,7
0.551,0.511,0.0311,0.0457,0.0,0.189,0.471,126.067,7
0.286,0.841,0.101,0.0441,0.0355,0.847,0.266,136.688,7
0.199,0.862,0.0784,0.00132,0.636,0.944,0.319,135.627,7
0.27,0.944,0.0735,0.00204,3.35e-05,0.822,0.368,133.257,7
0.427,0.665,0.361,0.459,6.92e-05,0.485,0.838,124.473,7
0.453,0.499,0.0294,0.233,4.27e-06,0.984,0.242,102.41,7
0.556,0.944,0.0445,0.0325,0.0,0.943,0.452,132.436,7
0.487,0.195,0.0399,0.383,0.0,0.723,0.222,101.429,7
0.527,0.51,0.032,0.395,0.941,0.78,0.617,98.771,7
0.325,0.91,0.0571,0.00591,0.00048,0.971,0.529,143.421,7
0.319,0.661,0.0334,0.0389,0.0039,0.886,0.325,106.189,7
0.453,0.945,0.042,0.084,3.49e-06,0.934,0.579,111.745,7
0.366,0.902,0.042,0.00129,0.175,0.981,0.548,113.495,7
0.734,0.77,0.0263,0.0693,0.0241,0.337,0.962,119.286,7
0.53,0.577,0.0349,0.306,0.0457,0.0911,0.251,93.889,7
0.406,0.374,0.0378,0.388,0.000734,0.0906,0.322,88.603,7
0.39,0.648,0.288,0.116,2.64e-06,0.139,0.246,165.392,7
0.41,0.91,0.262,0.0297,0.000154,0.135,0.407,171.522,7
0.544,0.336,0.038,0.458,3.48e-06,0.133,0.298,136.516,7
0.587,0.75,0.0997,0.0524,0.00188,0.189,0.55,135.54,7
0.47,0.339,0.0461,0.213,1.09e-05,0.146,0.238,140.409,7
0.515,0.565,0.0304,0.113,1.35e-05,0.122,0.374,104.372,7
0.162,0.411,0.0346,0.3,0.0769,0.687,0.246,61.418,7
0.396,0.341,0.0303,0.384,0.568,0.12,0.148,74.203,7
0.386,0.348,0.0291,0.626,0.00123,0.236,0.265,84.376,7
0.469,0.6,0.0288,0.132,0.00606,0.273,0.135,112.426,7
0.287,0.499,0.0437,0.464,0.000652,0.102,0.142,176.437,7
0.48,0.839,0.0548,0.321,0.253,0.114,0.556,119.527,7
0.414,0.928,0.15,0.0586,4.54e-05,0.137,0.475,122.363,7
0.521,0.816,0.051,0.308,0.933,0.215,0.936,90.068,7
0.432,0.652,0.03,0.444,0.861,0.244,0.59,133.855,7
0.504,0.709,0.0503,0.785,0.677,0.156,0.691,117.114,7
0.479,0.777,0.038,0.865,0.0357,0.144,0.517,147.1,7
0.521,0.943,0.0385,0.512,0.171,0.238,0.831,115.716,7
0.54,0.75,0.0462,0.0646,0.00398,0.224,0.584,106.118,7
0.471,0.836,0.12,0.543,0.00949,0.121,0.38,112.074,7
0.459,0.774,0.0548,0.804,0.0119,0.107,0.752,109.848,7
0.565,0.629,0.026,0.531,0.000302,0.11,0.725,74.843,7
0.43,0.687,0.0465,0.539,0.0716,0.0909,0.382,109.742,7
0.417,0.948,0.0875,0.335,0.000482,0.146,0.545,115.629,7
0.361,0.803,0.0508,0.0183,0.912,0.196,0.475,78.272,7
0.284,0.739,0.0689,0.00935,0.387,0.0879,0.612,174.378,7
0.349,0.672,0.0336,0.341,0.473,0.101,0.419,136.726,7
0.673,0.229,0.947,0.972,0.0,0.539,0.965,149.283,7
0.571,0.415,0.0349,0.564,0.249,0.187,0.399,110.088,7
0.532,0.768,0.0551,0.8,2.01e-05,0.377,0.698,116.026,7
0.594,0.462,0.0403,0.822,0.00186,0.123,0.529,128.516,7
0.309,0.595,0.0461,0.801,0.0266,0.371,0.438,90.805,7
0.456,0.62,0.0588,0.845,0.104,0.108,0.47,125.413,7
0.447,0.522,0.0325,0.601,0.0345,0.149,0.382,138.782,7
0.327,0.486,0.0364,0.908,0.184,0.205,0.145,172.724,7
0.396,0.972,0.127,0.00143,8.27e-05,0.105,0.398,137.242,7
0.46,0.878,0.0464,0.0817,5.58e-05,0.122,0.533,96.493,7
0.641,0.582,0.0483,0.127,0.00632,0.354,0.725,181.039,7
0.504,0.705,0.0665,0.00121,4.12e-06,0.453,0.567,108.965,7
0.705,0.735,0.0931,0.028,0.0783,0.112,0.448,132.627,7
0.349,0.866,0.112,0.0361,0.0406,0.216,0.488,167.951,7
0.515,0.502,0.058,0.253,0.883,0.345,0.374,143.937,7
0.434,0.653,0.0324,0.693,0.0421,0.177,0.625,105.09,7
0.531,0.676,0.0299,0.0156,0.00287,0.0988,0.544,136.759,7
0.588,0.488,0.03,0.325,0.0139,0.18,0.328,104.717,7
0.646,0.719,0.0685,0.159,0.000432,0.0758,0.71,160.008,7
0.604,0.406,0.0306,0.543,0.000545,0.0932,0.474,139.897,7
0.436,0.288,0.0315,0.746,0.00208,0.098,0.268,117.482,7
0.638,0.709,0.039,0.00803,1.59e-06,0.335,0.913,143.984,7
0.365,0.466,0.0418,0.161,6.68e-06,0.106,0.487,95.163,7
0.511,0.766,0.0473,0.03,0.00752,0.221,0.632,79.963,7
0.757,0.661,0.0291,0.00191,5.77e-05,0.141,0.617,111.64,7
0.594,0.814,0.0391,0.00992,0.000447,0.577,0.297,152.936,7
0.557,0.586,0.0268,0.019,0.187,0.156,0.569,104.636,7
0.647,0.465,0.0245,0.258,0.149,0.111,0.243,94.035,7
0.528,0.621,0.0319,0.00719,0.00134,0.0947,0.541,141.329,7
0.393,0.779,0.0417,0.0286,0.395,0.147,0.17,109.605,7
0.427,0.576,0.0288,0.262,0.000482,0.241,0.401,151.937,7
0.279,0.626,0.0342,0.077,0.00394,0.118,0.342,77.513,7
0.44,0.719,0.0445,0.0217,5.09e-06,0.0663,0.523,111.398,7
0.606,0.679,0.0321,0.0151,0.000433,0.0962,0.707,122.016,7
0.418,0.583,0.0257,0.329,0.769,0.238,0.327,79.594,7
0.525,0.776,0.0477,0.0175,0.000247,0.573,0.263,95.004,7
0.443,0.868,0.0565,0.149,0.043,0.651,0.622,157.948,7
0.536,0.792,0.0305,0.305,0.69,0.105,0.706,120.661,7
0.478,0.666,0.0566,0.0428,0.725,0.336,0.718,149.974,7
0.518,0.689,0.0409,0.0151,0.000522,0.107,0.35,120.115,7
